#hypeR	v1.5.0
#Signature Head	IDH3B,DLST,PCK2,CS,PDHB,PCK1
#Signature Size	24
#Signature Type	symbols
#Genesets	C2.CP:KEGG v7.1.1
#Background	2522
#P-Value	1
#FDR	1
#Test	hypergeometric
#Power	1
#Absolute	FALSE
label	pval	fdr	signature	geneset	overlap	background	hits
KEGG_CITRATE_CYCLE_TCA_CYCLE	9.9e-45	1.8e-42	24	31	22	2522	CS,DLST,FH,IDH1,IDH2,IDH3A,IDH3B,OGDH,OGDHL,PC,PCK1,PCK2,PDHA1,PDHA2,PDHB,SDHA,SDHB,SDHC,SDHD,SUCLA2,SUCLG1,SUCLG2
KEGG_PYRUVATE_METABOLISM	1.2e-06	0.00011	24	40	6	2522	PC,PCK1,PCK2,PDHA1,PDHA2,PDHB
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	0.00012	0.0074	24	11	3	2522	PDHA1,PDHA2,PDHB
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	0.00023	0.011	24	62	5	2522	PCK1,PCK2,PDHA1,PDHA2,PDHB
KEGG_PROPANOATE_METABOLISM	0.0034	0.12	24	33	3	2522	SUCLA2,SUCLG1,SUCLG2
KEGG_BUTANOATE_METABOLISM	0.0037	0.12	24	34	3	2522	PDHA1,PDHA2,PDHB
KEGG_LYSINE_DEGRADATION	0.0078	0.21	24	44	3	2522	DLST,OGDH,OGDHL
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	0.019	0.45	24	23	2	2522	PCK1,PCK2
KEGG_PARKINSONS_DISEASE	0.031	0.61	24	128	4	2522	SDHA,SDHB,SDHC,SDHD
KEGG_OXIDATIVE_PHOSPHORYLATION	0.033	0.61	24	131	4	2522	SDHA,SDHB,SDHC,SDHD
KEGG_TRYPTOPHAN_METABOLISM	0.054	0.92	24	40	2	2522	OGDH,OGDHL
KEGG_ALZHEIMERS_DISEASE	0.067	1	24	165	4	2522	SDHA,SDHB,SDHC,SDHD
KEGG_GLUTATHIONE_METABOLISM	0.081	1	24	50	2	2522	IDH1,IDH2
KEGG_HUNTINGTONS_DISEASE	0.087	1	24	180	4	2522	SDHA,SDHB,SDHC,SDHD
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.13	1	24	67	2	2522	PCK1,PCK2
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	0.14	1	24	16	1	2522	CS
KEGG_PPAR_SIGNALING_PATHWAY	0.14	1	24	69	2	2522	PCK1,PCK2
KEGG_PEROXISOME	0.17	1	24	78	2	2522	IDH1,IDH2
KEGG_INSULIN_SIGNALING_PATHWAY	0.38	1	24	137	2	2522	PCK1,PCK2
KEGG_RENAL_CELL_CARCINOMA	0.49	1	24	70	1	2522	FH
KEGG_PATHWAYS_IN_CANCER	0.96	1	24	325	1	2522	FH
KEGG_ABC_TRANSPORTERS	1	1	24	44	0	2522	
KEGG_ACUTE_MYELOID_LEUKEMIA	1	1	24	57	0	2522	
KEGG_ADHERENS_JUNCTION	1	1	24	73	0	2522	
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	1	1	24	32	0	2522	
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	1	1	24	42	0	2522	
KEGG_ALLOGRAFT_REJECTION	1	1	24	37	0	2522	
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	1	1	24	19	0	2522	
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	1	1	24	44	0	2522	
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	1	1	24	41	0	2522	
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	1	1	24	53	0	2522	
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	1	1	24	88	0	2522	
KEGG_APOPTOSIS	1	1	24	87	0	2522	
KEGG_ARACHIDONIC_ACID_METABOLISM	1	1	24	58	0	2522	
KEGG_ARGININE_AND_PROLINE_METABOLISM	1	1	24	54	0	2522	
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	1	1	24	74	0	2522	
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	1	1	24	25	0	2522	
KEGG_ASTHMA	1	1	24	30	0	2522	
KEGG_AUTOIMMUNE_THYROID_DISEASE	1	1	24	52	0	2522	
KEGG_AXON_GUIDANCE	1	1	24	129	0	2522	
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1	1	24	75	0	2522	
KEGG_BASAL_CELL_CARCINOMA	1	1	24	55	0	2522	
KEGG_BASAL_TRANSCRIPTION_FACTORS	1	1	24	35	0	2522	
KEGG_BASE_EXCISION_REPAIR	1	1	24	35	0	2522	
KEGG_BETA_ALANINE_METABOLISM	1	1	24	22	0	2522	
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	1	1	24	22	0	2522	
KEGG_BLADDER_CANCER	1	1	24	42	0	2522	
KEGG_CALCIUM_SIGNALING_PATHWAY	1	1	24	177	0	2522	
KEGG_CARDIAC_MUSCLE_CONTRACTION	1	1	24	78	0	2522	
KEGG_CELL_ADHESION_MOLECULES_CAMS	1	1	24	133	0	2522	
KEGG_CELL_CYCLE	1	1	24	124	0	2522	
KEGG_CHEMOKINE_SIGNALING_PATHWAY	1	1	24	189	0	2522	
KEGG_CHRONIC_MYELOID_LEUKEMIA	1	1	24	73	0	2522	
KEGG_CIRCADIAN_RHYTHM_MAMMAL	1	1	24	13	0	2522	
KEGG_COLORECTAL_CANCER	1	1	24	62	0	2522	
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	1	1	24	69	0	2522	
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	1	1	24	34	0	2522	
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	1	1	24	265	0	2522	
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	1	1	24	55	0	2522	
KEGG_DILATED_CARDIOMYOPATHY	1	1	24	90	0	2522	
KEGG_DNA_REPLICATION	1	1	24	36	0	2522	
KEGG_DORSO_VENTRAL_AXIS_FORMATION	1	1	24	24	0	2522	
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	1	1	24	72	0	2522	
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	1	1	24	51	0	2522	
KEGG_ECM_RECEPTOR_INTERACTION	1	1	24	84	0	2522	
KEGG_ENDOCYTOSIS	1	1	24	181	0	2522	
KEGG_ENDOMETRIAL_CANCER	1	1	24	52	0	2522	
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	1	1	24	68	0	2522	
KEGG_ERBB_SIGNALING_PATHWAY	1	1	24	87	0	2522	
KEGG_ETHER_LIPID_METABOLISM	1	1	24	33	0	2522	
KEGG_FATTY_ACID_METABOLISM	1	1	24	42	0	2522	
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	1	1	24	79	0	2522	
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	1	1	24	96	0	2522	
KEGG_FOCAL_ADHESION	1	1	24	199	0	2522	
KEGG_FOLATE_BIOSYNTHESIS	1	1	24	11	0	2522	
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	1	1	24	34	0	2522	
KEGG_GALACTOSE_METABOLISM	1	1	24	26	0	2522	
KEGG_GAP_JUNCTION	1	1	24	90	0	2522	
KEGG_GLIOMA	1	1	24	65	0	2522	
KEGG_GLYCEROLIPID_METABOLISM	1	1	24	49	0	2522	
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	1	1	24	77	0	2522	
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	1	1	24	31	0	2522	
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	1	1	24	22	0	2522	
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	1	1	24	26	0	2522	
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	1	1	24	15	0	2522	
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	1	1	24	21	0	2522	
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	1	1	24	15	0	2522	
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	1	1	24	14	0	2522	
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	1	1	24	26	0	2522	
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	1	1	24	25	0	2522	
KEGG_GNRH_SIGNALING_PATHWAY	1	1	24	101	0	2522	
KEGG_GRAFT_VERSUS_HOST_DISEASE	1	1	24	41	0	2522	
KEGG_HEDGEHOG_SIGNALING_PATHWAY	1	1	24	56	0	2522	
KEGG_HEMATOPOIETIC_CELL_LINEAGE	1	1	24	87	0	2522	
KEGG_HISTIDINE_METABOLISM	1	1	24	29	0	2522	
KEGG_HOMOLOGOUS_RECOMBINATION	1	1	24	28	0	2522	
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	1	1	24	83	0	2522	
KEGG_INOSITOL_PHOSPHATE_METABOLISM	1	1	24	54	0	2522	
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	1	1	24	48	0	2522	
KEGG_JAK_STAT_SIGNALING_PATHWAY	1	1	24	155	0	2522	
KEGG_LEISHMANIA_INFECTION	1	1	24	72	0	2522	
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	1	1	24	116	0	2522	
KEGG_LIMONENE_AND_PINENE_DEGRADATION	1	1	24	10	0	2522	
KEGG_LINOLEIC_ACID_METABOLISM	1	1	24	29	0	2522	
KEGG_LONG_TERM_DEPRESSION	1	1	24	70	0	2522	
KEGG_LONG_TERM_POTENTIATION	1	1	24	70	0	2522	
KEGG_LYSOSOME	1	1	24	121	0	2522	
KEGG_MAPK_SIGNALING_PATHWAY	1	1	24	267	0	2522	
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	1	1	24	25	0	2522	
KEGG_MELANOGENESIS	1	1	24	101	0	2522	
KEGG_MELANOMA	1	1	24	71	0	2522	
